filename,source_image,role,quality_note
office-finger-extensor-use.png,img14.png,product-use keyframe,curated existing generated product-use asset
clean-kit-system-flatlay.png,img04.png,product-use keyframe,curated existing generated product-use asset
commute-waist-pack-carry.png,img11.png,product-use keyframe,curated existing generated product-use asset
backpack-product-carry-closeup.png,img06.png,product-use keyframe,curated existing generated product-use asset
backpack-kit-carry-closeup.png,img09.png,product-use keyframe,curated existing generated product-use asset
desk-kit-layout-hand-select.png,img08.png,product-use keyframe,curated existing generated product-use asset
dark-kit-bag-hero.png,img01.png,product-use keyframe,curated existing generated product-use asset
office-desk-grip-trainer-use.png,img12.png,product-use keyframe,curated existing generated product-use asset
office-break-grip-trainer-use.png,img15.png,product-use keyframe,curated existing generated product-use asset
office-finger-extensor-vertical.png,codex-old-img01,product-use keyframe,strong vertical office finger-extensor use
office-grip-closeup-vertical.png,codex-old-img03,product-use keyframe,strong vertical office grip-trainer closeup
