file,direction,duration_seconds,format,audio,use_case,quality_note
cj-sport-lab-v1-desk-to-training.mp4,desk-to-training product ad,21.27,1080x1920 h264 mp4,english tts placeholder,primary TikTok or Instagram Reel draft,best current direction
cj-sport-lab-v2-kit-showcase.mp4,product kit showcase,18.07,1080x1920 h264 mp4,english tts placeholder,product detail or ecommerce support post,too static for final hero ad
cj-sport-lab-v3-sports-matrix.mp4,CJ Sport and CJ Sport Lab matrix teaser,22.25,1080x1920 h264 mp4,english tts placeholder,brand account matrix intro,good for explaining brand split
cj-sport-lab-v4-office-micro-reps.mp4,office micro-reps product ad,21.07,1080x1920 h264 mp4,english tts placeholder,primary TikTok or Instagram Reel test,strongest office white-collar use-case cut
cj-sport-lab-v5-commute-carry.mp4,commute carry product ad,20.47,1080x1920 h264 mp4,english tts placeholder,primary TikTok or Instagram Reel test,strongest compact carry and transit cut
cj-sport-lab-v6-pocket-training-system.mp4,pocket training system story,26.27,1080x1920 h264 mp4,english tts placeholder,brand/product system explainer,longer matrix-style product story
cj-sport-lab-v7-office-product-use.mp4,office product-use micro-training ad,24.55,1080x1920 h264 mp4,livelier english tts placeholder,primary TikTok or Instagram Reel test,strongest product-in-hand office cut
cj-sport-lab-v8-commute-pocket-training.mp4,commute and pocket training ad,23.67,1080x1920 h264 mp4,livelier english tts placeholder,primary TikTok or Instagram Reel test,better carry story with product-use closeup
cj-sport-lab-v9-desk-reset-dynamic.mp4,dynamic office desk-reset product ad,23.42,1080x1920 h264 mp4,matched english tts placeholder,primary TikTok or Instagram Reel test,strongest office desk-break product-use cut
cj-sport-lab-v10-pocket-reps-dynamic.mp4,dynamic pocket and carry product ad,24.72,1080x1920 h264 mp4,matched english tts placeholder,primary TikTok or Instagram Reel test,stronger product-specific carry and daily-use route
