"slug","file","width","height","duration","fps","bytes","purpose","license","source_page","source_video"
"basketball-free-throw","C:\Users\dell\Documents\运动健身\cj-sport-lab-product-ad\assets\stock-video\basketball-free-throw.mp4","1280","720","13.5","24/1","4948416","Basketball court training context","Mixkit Stock Video Free License","https://mixkit.co/free-stock-video/basketball-player-shot-at-goal-2278/","https://assets.mixkit.co/videos/2278/2278-720.mp4"
"basketball-training-alone","C:\Users\dell\Documents\运动健身\cj-sport-lab-product-ad\assets\stock-video\basketball-training-alone.mp4","1280","720","6.09","24000/1001","1901953","Sport culture / training alone","Mixkit Stock Video Free License","https://mixkit.co/free-stock-video/skilled-basketball-player-shooting-baskets-training-alone-44448/","https://assets.mixkit.co/videos/44448/44448-720.mp4"
"gym-strength-machine","C:\Users\dell\Documents\运动健身\cj-sport-lab-product-ad\assets\stock-video\gym-strength-machine.mp4","640","360","12.64","24000/1001","744418","Gym strength / effort texture","Mixkit Stock Video Free License","https://mixkit.co/free-stock-video/woman-on-a-strength-training-machine-100522/","https://assets.mixkit.co/videos/50962/50962-360.mp4"
"indoor-workout-routine","C:\Users\dell\Documents\运动健身\cj-sport-lab-product-ad\assets\stock-video\indoor-workout-routine.mp4","1280","720","20.12","50/1","7533803","Everyday home/gym workout","Mixkit Stock Video Free License","https://mixkit.co/free-stock-video/woman-doing-indoor-workout-routine-48939/","https://assets.mixkit.co/videos/48939/48939-720.mp4"
"treadmill-closeup","C:\Users\dell\Documents\运动健身\cj-sport-lab-product-ad\assets\stock-video\treadmill-closeup.mp4","1280","720","7","25/1","2154228","Running/fitness close-up","Mixkit Stock Video Free License","https://mixkit.co/free-stock-video/close-up-of-a-woman-walking-on-a-treadmill-in-47876/","https://assets.mixkit.co/videos/47876/47876-720.mp4"
"programmer-hands-desk","C:\Users\dell\Documents\运动健身\cj-sport-lab-product-ad\assets\stock-video\programmer-hands-desk.mp4","1280","720","8.09","24000/1001","2616967","Desk lifestyle / hand close-up","Mixkit Stock Video Free License","https://mixkit.co/free-stock-video/hands-of-a-programmer-working-on-a-desk-41652/","https://assets.mixkit.co/videos/41652/41652-720.mp4"
"desk-hand-paper","C:\Users\dell\Documents\运动健身\cj-sport-lab-product-ad\assets\stock-video\desk-hand-paper.mp4","720","1280","9.63","24000/1001","3620567","Office desk action / pickup cutaway","Mixkit Stock Video Free License","https://mixkit.co/free-stock-video/hand-of-a-man-on-a-desk-taking-a-sheet-39857/","https://assets.mixkit.co/videos/39857/39857-720.mp4"
"basketball-top-view","C:\Users\dell\Documents\运动健身\cj-sport-lab-product-ad\assets\stock-video\basketball-top-view.mp4","1280","720","14.18","30000/1001","5743549","Court establishing shot","Mixkit Stock Video Free License","https://mixkit.co/free-stock-video/basketball-court-with-players-top-view-34283/","https://assets.mixkit.co/videos/34283/34283-720.mp4"
"basketball-one-on-one","C:\Users\dell\Documents\运动健身\cj-sport-lab-product-ad\assets\stock-video\basketball-one-on-one.mp4","1280","720","5.84","24000/1001","1974410","Game energy / sports culture","Mixkit Stock Video Free License","https://mixkit.co/free-stock-video/two-good-basketball-players-playing-one-on-one-44472/","https://assets.mixkit.co/videos/44472/44472-720.mp4"
"office-hands-computer-vertical","C:\Users\dell\Documents\运动健身\cj-sport-lab-product-ad\assets\stock-video\office-hands-computer-vertical.mp4","720","1280","11.55","24000/1001","4303923","Vertical office hands hook / desk break setup","Mixkit Stock Video Free License","https://mixkit.co/free-stock-video/hands-of-a-woman-working-on-a-computer-49935/","https://assets.mixkit.co/videos/49935/49935-720.mp4"
