filename,title,source,sourcePage,contentUrl,licenseNote
"office-typing-keyboard-closeup.mp4","Close-Up of a Man Typing on the Keyboard","Coverr","https://coverr.co/stock-video-footage/office","https://cdn.coverr.co/videos/coverr-close-up-of-a-man-typing-on-the-keyboard-4926/1080p.mp4","Coverr license: free commercial/non-commercial use; attribution recommended/required for free downloads; no AI training/dataset use."
"office-mouse-closeup.mp4","Close-Up of a Man Using a Wireless Mouse","Coverr","https://coverr.co/stock-video-footage/office","https://cdn.coverr.co/videos/coverr-close-up-of-a-man-using-a-wireless-mouse-8923/1080p.mp4","Coverr license: free commercial/non-commercial use; attribution recommended/required for free downloads; no AI training/dataset use."
"office-texting-home-office.mp4","Woman Texting on Her Smartphone in Her Home Office","Coverr","https://coverr.co/s?q=office%20break","https://cdn.coverr.co/videos/coverr-woman-texting-on-her-smartphone-in-her-home-office-2946/1080p.mp4","Coverr license: free commercial/non-commercial use; attribution recommended/required for free downloads; no AI training/dataset use."
"office-sitting-down-desk.mp4","Sitting Down at a Desk","Coverr","https://coverr.co/s?q=office%20break","https://cdn.coverr.co/videos/coverr-sitting-down-at-a-desk-3532/1080p.mp4","Coverr license: free commercial/non-commercial use; attribution recommended/required for free downloads; no AI training/dataset use."
"bag-putting-stuff-backpack.mp4","Putting Stuff in a Backpack","Coverr","https://coverr.co/s?q=backpack","https://cdn.coverr.co/videos/coverr-putting-stuff-in-a-backpack-1626/1080p.mp4","Coverr license: free commercial/non-commercial use; attribution recommended/required for free downloads; no AI training/dataset use."
"bag-zipping-backpack.mp4","Zipping Up a Backpack","Coverr","https://coverr.co/s?q=backpack","https://cdn.coverr.co/videos/coverr-zipping-up-a-backpack-7570/1080p.mp4","Coverr license: free commercial/non-commercial use; attribution recommended/required for free downloads; no AI training/dataset use."
"commute-coffee-phone.mp4","Urban Commute with Coffee and Phone","Coverr","https://coverr.co/s?q=commute%20phone","https://cdn.coverr.co/videos/coverr-urban-commute-with-coffee-and-phone/1080p.mp4","Coverr license: free commercial/non-commercial use; attribution recommended/required for free downloads; no AI training/dataset use."
"commute-woman-subway-wait.mp4","Woman Waiting for the Subway","Coverr","https://coverr.co/stock-video-footage/commute","https://cdn.coverr.co/videos/coverr-woman-waiting-for-the-subway-3892/1080p.mp4","Coverr license: free commercial/non-commercial use; attribution recommended/required for free downloads; no AI training/dataset use."
"commute-subway-handle.mp4","Subway Handle","Coverr","https://coverr.co/stock-video-footage/commute","https://cdn.coverr.co/videos/coverr-subway-handle-2187/1080p.mp4","Coverr license: free commercial/non-commercial use; attribution recommended/required for free downloads; no AI training/dataset use."
"commute-walking-phone.mp4","Typing on the Phone Whilst Walking","Coverr","https://coverr.co/s?q=walking%20phone","https://cdn.coverr.co/videos/coverr-typing-on-the-phone-whilst-walking-8429/1080p.mp4","Coverr license: free commercial/non-commercial use; attribution recommended/required for free downloads; no AI training/dataset use."
"commute-phone-from-pocket.mp4","A Man Getting His Phone From His Pocket While Walking Along a Street","Coverr","https://coverr.co/s?q=walking%20phone","https://cdn.coverr.co/videos/coverr-a-man-getting-his-phone-from-his-pocket-while-walking-along-a-street-9431/1080p.mp4","Coverr license: free commercial/non-commercial use; attribution recommended/required for free downloads; no AI training/dataset use."
"city-businesswoman-phone.mp4","Businesswoman Checking Phone Outdoors","Coverr","https://coverr.co/s?q=city%20phone","https://cdn.coverr.co/videos/coverr-businesswoman-checking-phone-outdoors/1080p.mp4","Coverr license: free commercial/non-commercial use; attribution recommended/required for free downloads; no AI training/dataset use."
