"file","original","role","bytes","source_folder"
"cj-sport-lab-grip-trainer-main.png","ChatGPT Image 2026年6月23日 02_03_37 (1).png","Grip trainer main product image","1625211","C:\Users\dell\Documents\海外社媒运营\campaigns\cj-sportlab\CJsport产品图片\6.23干净产品图"
"cj-sport-lab-finger-extensor-main.png","ChatGPT Image 2026年6月23日 02_03_37 (2).png","Finger extensor main product image","1106393","C:\Users\dell\Documents\海外社媒运营\campaigns\cj-sportlab\CJsport产品图片\6.23干净产品图"
"cj-sport-lab-wrist-ring-main.png","ChatGPT Image 2026年6月23日 02_03_37 (3).png","Wrist/hand ring main product image","1825106","C:\Users\dell\Documents\海外社媒运营\campaigns\cj-sportlab\CJsport产品图片\6.23干净产品图"
"cj-sport-lab-knuckle-trainer-main.png","ChatGPT Image 2026年6月23日 02_03_37 (4).png","Knuckle trainer main product image","1245765","C:\Users\dell\Documents\海外社媒运营\campaigns\cj-sportlab\CJsport产品图片\6.23干净产品图"
"cj-sport-lab-kit-flatlay-main.png","ChatGPT Image 2026年6月23日 02_03_37 (5).png","Full kit flatlay main product image","1998551","C:\Users\dell\Documents\海外社媒运营\campaigns\cj-sportlab\CJsport产品图片\6.23干净产品图"
"cj-sport-lab-grip-trainer-horizontal.png","ChatGPT Image 2026年6月23日 02_03_44 (1).png","Grip trainer horizontal product image","1694598","C:\Users\dell\Documents\海外社媒运营\campaigns\cj-sportlab\CJsport产品图片\6.23干净产品图"
"cj-sport-lab-finger-extensor-set.png","ChatGPT Image 2026年6月23日 02_03_44 (2).png","Finger extensor set product image","1661650","C:\Users\dell\Documents\海外社媒运营\campaigns\cj-sportlab\CJsport产品图片\6.23干净产品图"
"cj-sport-lab-wrist-ring-set.png","ChatGPT Image 2026年6月23日 02_03_44 (3).png","Wrist/hand ring set product image","1989255","C:\Users\dell\Documents\海外社媒运营\campaigns\cj-sportlab\CJsport产品图片\6.23干净产品图"
"cj-sport-lab-kit-horizontal.png","ChatGPT Image 2026年6月23日 02_03_44 (4).png","Compact kit horizontal product image","1593186","C:\Users\dell\Documents\海外社媒运营\campaigns\cj-sportlab\CJsport产品图片\6.23干净产品图"
"cj-sport-lab-clean-product-alt.png","ChatGPT Image 2026年6月23日 02_03_44 (5).png","Alternate clean product image","1729113","C:\Users\dell\Documents\海外社媒运营\campaigns\cj-sportlab\CJsport产品图片\6.23干净产品图"
